academic_year,grade,semester,course_name,course_code,completion_type,credits,generation_evidence,generation_evidence_reason,in_4year_flowchart,in_6year_flowchart,grade_1_2_rule,direct_4year_evidence,direct_6year_evidence,pdf_position_group_size,partner_codes,lineage_candidate,lineage_pair_status,lineage_reason,previous_year,previous_generation,next_year,next_generation,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,relation_as_old,relation_as_new,relation_types,relation_counterpart_codes,relation_counterpart_names,relation_designation_years,relation_source_years,relation_needs_review,partner_relation_found,partner_relation_types,partner_relation_counterparts,partner_relation_designation_years,partner_relation_source_years,evidence_flags,review_priority
2023,5,2,신약개발정보학,ADB090,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2023,5,2,심혈관계 질환 약물치료학,ADB082,전선,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2023,5,2,약물유전체학,ADB085,전선,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2023,5,2,약업경영학,ADA118,전선,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2023,5,2,약전 및 품질관리학,ADA167,전선,3,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADB081,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,5,2,약전 및 품질관리학,ADB081,전선,3,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADA167,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,5,2,예방약학 2,ADA109,전선,3,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2023,5,2,의약품허가,ADB088,전선,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2023,6,1,의료기관약국 필수실무실습 1,ADA213,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB093,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA151,병원약학실무필수실습1,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,의료기관약국 필수실무실습 2,ADA214,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB094,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA152,병원약학실무필수실습2,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,의료기관약국 필수실무실습 3,ADA215,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB095,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA169,병원약학실무필수실습3,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,의료기관약국 필수실무실습 4,ADA216,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB096,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA170,병원약학실무필수실습4,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA213,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA214,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA215,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA216,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,1,제약산업 필수실무실습,ADB097,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA218,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,1,제약산업 필수실무실습,ADA218,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB097,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA155,제약산업실무필수실습,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,지역약국 필수실무실습 1,ADA219,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB092,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA153,지역약국실무필수실습1,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,1,지역약국 필수실무실습1,ADB092,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA219,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,2,심화실습 1,ADA226,전필,5,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB099,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,2,심화실습 1,ADB099,전필,5,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA226,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,2,심화실습 2,ADB100,전필,5,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA227,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,2,심화실습 2,ADA227,전필,5,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB100,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2023,6,2,지역약국 필수실무실습 2,ADA220,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB098,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,2,equivalent;substitute,ADA154,지역약국실무필수실습2,2020,2023,no,no,,,,,ambiguous_position;official_course_relation,medium
2023,6,2,지역약국 필수실무실습2,ADB098,전필,3,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA220,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2024,1,1,약학기초생물학1,ADB002,전선,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,1,약학기초화학1,ADB003,전선,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,1,해부생리학,ADB001,전선,3,six_year,grade_1_2_rule,no,no,yes,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,1,해부생리학1,ADB101,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,2,신경생리학,ADB004,전선,1,six_year,grade_1_2_rule,no,no,yes,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,2,약학기초생물학2,ADB005,전선,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,2,약학기초화학2,ADB006,전선,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,1,2,해부생리학2,ADB102,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,물리약학1,ADB010,전필,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,약용식물학,ADB049,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,약품생화학1,ADB008,전필,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,약학실험1,ADB013,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,약학통계,ADB012,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,약화학 1,ADB009,전필,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,의약품분석학1,ADB011,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,1,병태생리학1,ADB007,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,물리약학2,ADB019,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,약품면역학,ADB021,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,약품생화학2,ADB016,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,약학실험2,ADB022,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,의약품분석학2,ADB020,전필,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,병태생리학2,ADB015,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,약화학 2,ADB018,전선,3,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,의약분자생물학,ADB017,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,의약품개발사,ADB105,전선,2,six_year,grade_1_2_rule,no,yes,yes,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,조제학,ADB077,전선,3,six_year,grade_1_2_rule,no,no,yes,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,2,2,종양생물학,ADB091,전선,2,six_year,grade_1_2_rule,no,no,yes,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence;grade_1_2_rule,low
2024,3,1,면역학,ADA002,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,물리약학 1,ADA076,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,보건사회약학,ADB029,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,생약학1,ADB026,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,약물학1,ADB024,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,약품미생물학,ADB025,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,약품분석화학 1,ADA031,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,약품생화학 1,ADA042,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,약학실험 1,ADA201,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA100,약학실습 1,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,1,약학실험3,ADB031,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,의약품기기분석학1,ADB030,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,의약품합성학1,ADB028,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,제제과학1,ADB027,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,무기 및 방사성 의약품학,ADA199,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA131,방사능무기의약품학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,1,약물유전체학,ADB085,전선,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,약사윤리와 진로 적응,ADA212,전선,1,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,ADA205,약학개론과 윤리,2020,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,1,약용식물학,ADA203,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,약학통계,ADA051,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,AMA163,의학통계자료분석,2011,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,1,약화학,ADA080,전선,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,1,자원생약학,ADA228,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,1,해부생리학,ADA022,전선,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,감염성미생물학,ADB034,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,물리약학 2,ADA041,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,생약학2,ADB036,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,약물학2,ADB033,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,약품분석화학 2,ADA074,전필,1,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,약품생화학 2,ADA012,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,약학실험 2,ADA195,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent,ADA163;ADA164,약학실습 2 - 물리약학;약학실습 2 - 약품화학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,2,약학실험4,ADB041,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,약학용어,ADB076,전필,1,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,의약품기기분석학2,ADB040,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,의약품합성학,ADA198,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,ADA083,유기약품합성화학,2017;2018,2023,no,no,,,,,direct_generation_evidence;official_course_relation,low
2024,3,2,의약품합성학2,ADB038,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,제제과학2,ADB037,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,독성학,ADB068,전선,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,바이러스학,ADA189,전선,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,법화학,ADB106,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,병태생리학,ADA006,전선,4,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,신경생리학,ADA092,전선,1,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,약사 커뮤니케이션,ADB039,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,3,2,약품기기분석학,ADA196,전선,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA175,기기분석,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,2,의약분자생물학,ADA181,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA106,약품분자세포생물학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,3,2,의약품설계학,ADA197,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,3,2,임상면역학,ADB035,전선,1,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,4,1,감염질환을 위한 항생물질학,ADB045,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,4,1,보건사회약학,ADA193,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA117,사회약학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,4,1,생약학 1,ADA065,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,약물학 1,ADA030,전필,4,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,약품 미생물학,ADA104,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,약학실험 3,ADA184,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent,ADA165;ADA166,약학실습 3 - 약물학;약학실습 3 - 약품미생물학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,4,1,예방약학1,ADB044,전필,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,4,1,의약화학 1,ADA102,전필,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB047,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position;lineage_pair_one_sided_candidate,high
2024,4,1,제제과학 1,ADA186,전필,3,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA112,제제학,2017,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2024,4,1,제제과학 실험,ADB051,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2024,4,1,AI 의료약학빅데이터,ADB053,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,건강기능식품학,ADB050,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,나노약학,ADA229,전선,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADB054,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2024,4,1,나노약학,ADB054,전선,2,ambiguous,multiple_pdf_rows_match_6year_flowchart,no,yes,no,no,no,2,ADA229,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,2022,six_year,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2024,4,1,내분비계 및 류마티스 질환 약물치료,ADB063,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2024,4,1,무기방사성 의약품학,ADB052,전선,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
