target_year,grade,semester,course_name,course_code,target_status,target_generation_evidence,pair_codes,source_year,source_course_code,source_status,source_generation,source_decision_reason,source_lineage_candidate,year_distance,backward_support_candidate,backward_support_strength,backward_support_status,backward_support_reason
2023,4,2,약물동태학,ADB058,paired_unknown,ambiguous,ADA086;ADB058,2024,ADB058,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,4,2,의약화학2,ADB059,paired_unknown,ambiguous,ADA103;ADB059,2024,ADB059,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,5,1,의약품제조관리학,ADA171,paired_unknown,ambiguous,ADA171;ADB072,2024,ADA171,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,5,1,지역약국 예비실무실습,ADA115,paired_unknown,ambiguous,ADA115;ADB075,2024,ADA115,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,5,2,약무행정실무필수실습,ADA174,paired_unknown,ambiguous,ADA174;ADB087,2024,ADA174,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,5,2,약전 및 품질관리학,ADA167,paired_unknown,ambiguous,ADA167;ADB081,2024,ADA167,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,5,2,한약제제학,ADA140,paired_unknown,ambiguous,ADA140;ADB080,2024,ADA140,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,의료기관약국 필수실무실습 1,ADA213,paired_unknown,ambiguous,ADA213;ADB093,2024,ADA213,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,의료기관약국 필수실무실습 2,ADA214,paired_unknown,ambiguous,ADA214;ADB094,2024,ADA214,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,의료기관약국 필수실무실습 3,ADA215,paired_unknown,ambiguous,ADA215;ADB095,2024,ADA215,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,의료기관약국 필수실무실습 4,ADA216,paired_unknown,ambiguous,ADA216;ADB096,2024,ADA216,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,제약산업 필수실무실습,ADA218,paired_unknown,ambiguous,ADA218;ADB097,2024,ADA218,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,1,지역약국 필수실무실습 1,ADA219,paired_unknown,ambiguous,ADA219;ADB092,2024,ADA219,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,2,심화실습 1,ADA226,paired_unknown,ambiguous,ADA226;ADB099,2024,ADA226,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,2,심화실습 2,ADA227,paired_unknown,ambiguous,ADA227;ADB100,2024,ADA227,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
2023,6,2,지역약국 필수실무실습 2,ADA220,paired_unknown,ambiguous,ADA220;ADB098,2024,ADA220,probable,six_year,ambiguous_pair_one_sided_lineage_evidence,six_year,1,six_year,adjacent_year,review_only,same_pair_same_code_later_probable_generation
