academic_year,candidate_type,course_name,baseline_code,seed_code,baseline_grade,baseline_semester,seed_grade,seed_semester,baseline_completion_type,seed_completion_type,baseline_credits,seed_credits,official_relation,relation_links,relation_source_years,baseline_db_terms,seed_db_terms,baseline_db_history,seed_db_history,seed_name_db_codes,chronology_signal
2023,same_name_unique,약무행정실무필수실습,ADA174,ADB087,5,2,5,2,전필,전필,1,1,no,,,2022-2;2023-2;2024-2;2025-2;2026-2,,2022-2|약무행정실무필수실습|전필|1 / 2023-2|약무행정실무필수실습|전필|1 / 2024-2|약무행정실무필수실습|전필|1 / 2025-2|약무행정실무필수실습|전필|1 / 2026-2|약무행정실무필수실습|전필|1,,ADA174,baseline_code_only_in_db
2023,same_name_unique,건강기능식품학,ADA182,ADB050,4,1,4,2,전선,전선,2,3,no,,,2022-1;2023-1;2024-2,2025-2;2026-2,2022-1|건강기능식품학|전선|2 / 2023-1|건강기능식품학|전선|2 / 2024-2|건강기능식품학|전선|2,2025-2|건강기능식품학|전선|2 / 2026-2|건강기능식품학|전선|3,ADA182;ADB050,baseline_then_seed
2023,same_name_unique,의료기관약국 필수실무실습 1,ADA213,ADB093,6,1,6,1,전필,전필,3,3,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|의료기관약국 필수실무실습 1|전필|3 / 2023-1|의료기관약국 필수실무실습 1|전필|3 / 2024-1|의료기관약국 필수실무실습 1|전필|3 / 2025-1|의료기관약국 필수실무실습 1|전필|3 / 2026-1|의료기관약국 필수실무실습 1|전필|3,,ADA213,baseline_code_only_in_db
2023,same_name_unique,의료기관약국 필수실무실습 2,ADA214,ADB094,6,1,6,1,전필,전필,2,2,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|의료기관약국 필수실무실습 2|전필|2 / 2023-1|의료기관약국 필수실무실습 2|전필|2 / 2024-1|의료기관약국 필수실무실습 2|전필|2 / 2025-1|의료기관약국 필수실무실습 2|전필|2 / 2026-1|의료기관약국 필수실무실습 2|전필|2,,ADA214,baseline_code_only_in_db
2023,same_name_unique,의료기관약국 필수실무실습 3,ADA215,ADB095,6,1,6,1,전필,전필,3,3,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|의료기관약국 필수실무실습 3|전필|3 / 2023-1|의료기관약국 필수실무실습 3|전필|3 / 2024-1|의료기관약국 필수실무실습 3|전필|3 / 2025-1|의료기관약국 필수실무실습 3|전필|3 / 2026-1|의료기관약국 필수실무실습 3|전필|3,,ADA215,baseline_code_only_in_db
2023,same_name_unique,의료기관약국 필수실무실습 4,ADA216,ADB096,6,1,6,1,전필,전필,2,2,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|의료기관약국 필수실무실습 4|전필|2 / 2023-1|의료기관약국 필수실무실습 4|전필|2 / 2024-1|의료기관약국 필수실무실습 4|전필|2 / 2025-1|의료기관약국 필수실무실습 4|전필|2 / 2026-1|의료기관약국 필수실무실습 4|전필|2,,ADA216,baseline_code_only_in_db
2023,same_name_unique,제약산업 필수실무실습,ADA218,ADB097,6,1,6,1,전필,전필,2,2,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|제약산업 필수실무실습|전필|2 / 2023-1|제약산업 필수실무실습|전필|2 / 2024-1|제약산업 필수실무실습|전필|2 / 2025-1|제약산업 필수실무실습|전필|2 / 2026-1|제약산업 필수실무실습|전필|2,,ADA218,baseline_code_only_in_db
2023,same_name_unique,지역약국 필수실무실습 1,ADA219,ADB092,6,1,6,1,전필,전필,2,2,no,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|지역약국 필수실무실습 1|전필|2 / 2023-1|지역약국 필수실무실습 1|전필|2 / 2024-1|지역약국 필수실무실습 1|전필|2 / 2025-1|지역약국 필수실무실습 1|전필|2 / 2026-1|지역약국 필수실무실습 1|전필|2,,ADA219,baseline_code_only_in_db
2023,same_name_unique,지역약국 필수실무실습 2,ADA220,ADB098,6,2,6,2,전필,전필,3,3,no,,,2022-2;2023-2;2024-2;2025-2;2026-2,,2022-2|지역약국 필수실무실습 2|전필|3 / 2023-2|지역약국 필수실무실습 2|전필|3 / 2024-2|지역약국 필수실무실습 2|전필|3 / 2025-2|지역약국 필수실무실습 2|전필|3 / 2026-2|지역약국 필수실무실습 2|전필|3,,ADA220,baseline_code_only_in_db
2023,same_name_unique,심화실습 1,ADA226,ADB099,6,2,6,2,전필,전필,5,5,no,,,2022-2;2023-2;2024-2;2025-2;2026-2,,2022-2|심화실습 1|전필|5 / 2023-2|심화실습 1|전필|5 / 2024-2|심화실습 1|전필|5 / 2025-2|심화실습 1|전필|5 / 2026-2|심화실습 1|전필|5,,ADA226,baseline_code_only_in_db
2023,same_name_unique,심화실습 2,ADA227,ADB100,6,2,6,2,전필,전필,5,5,no,,,2022-2;2023-2;2024-2;2025-2;2026-2,,2022-2|심화실습 2|전필|5 / 2023-2|심화실습 2|전필|5 / 2024-2|심화실습 2|전필|5 / 2025-2|심화실습 2|전필|5 / 2026-2|심화실습 2|전필|5,,ADA227,baseline_code_only_in_db
2024,same_name_unique,건강기능식품학,ADA182,ADB050,5,2,4,2,전선,전선,2,3,no,,,2022-1;2023-1;2024-2,2025-2;2026-2,2022-1|건강기능식품학|전선|2 / 2023-1|건강기능식품학|전선|2 / 2024-2|건강기능식품학|전선|2,2025-2|건강기능식품학|전선|2 / 2026-2|건강기능식품학|전선|3,ADA182;ADB050,baseline_then_seed
2024,same_name_unique,감염성 질환 약물치료학,ADB069,ADA147,4,2,4,2,전필,전필,2,2,no,,,,2022-2;2023-2;2024-2;2025-2;2026-2,,2022-2|감염성 질환 약물치료학|전필|2 / 2023-2|감염성 질환 약물치료학|전필|2 / 2024-2|감염성 질환 약물치료학|전필|2 / 2025-2|감염성 질환 약물치료학|전필|2 / 2026-2|감염성 질환 약물치료학|전필|2,ADA147,seed_code_only_in_db
2024,same_name_unique,호흡기계 및 소화기계 질환 약물치료학,ADB071,ADA145,4,2,4,2,전선,전선,2,2,no,,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|호흡기계 및 소화기계 질환 약물치료학|전선|2 / 2023-1|호흡기계 및 소화기계 질환 약물치료학|전선|2 / 2024-1|호흡기계 및 소화기계 질환 약물치료학|전선|2 / 2025-1|호흡기계 및 소화기계 질환 약물치료학|전선|2 / 2026-1|호흡기계 및 소화기계 질환 약물치료학|전선|2,ADA145,seed_code_only_in_db
2024,same_name_unique,약업경영학,ADB074,ADA118,5,1,5,1,전선,전선,2,2,no,,,,2022-2;2023-2;2024-2;2025-2;2026-1,,2022-2|약업경영학|전선|2 / 2023-2|약업경영학|전선|2 / 2024-2|약업경영학|전선|2 / 2025-2|약업경영학|전선|2 / 2026-1|약업경영학|전선|2,ADA118,seed_code_only_in_db
2024,same_name_unique,조제학,ADB077,ADA053,2,2,4,1,전선,전선,3,,no,,,,2023-2,,2023-2|조제학|전선|2,ADA053,seed_code_only_in_db
2024,same_name_unique+seed_blank_code,약물신호전달학,ADB079,,5,1,5,1,전선,전선,2,2,no,,,,,,,,seed_code_missing
2024,same_name_unique,의료기관약국예비실습,ADB086,ADA217,5,2,5,2,전필,전필,2,2,no,,,,2022-1;2023-1;2024-1;2025-1;2026-1,,2022-1|의료기관약국 예비실무실습|전필|2 / 2023-1|의료기관약국 예비실무실습|전필|2 / 2024-1|의료기관약국 예비실무실습|전필|2 / 2025-1|의료기관약국 예비실무실습|전필|2 / 2026-1|의료기관약국 예비실무실습|전필|2,,seed_code_only_in_db
2024,same_name_unique+seed_blank_code,의약품허가,ADB088,,5,2,5,2,전선,전선,3,3,no,,,,,,,,seed_code_missing
2024,same_name_unique+seed_blank_code,신약개발정보학,ADB090,,5,2,5,2,전선,전선,2,2,no,,,,,,,,seed_code_missing
2024,same_name_unique+seed_blank_code,종양생물학,ADB091,,2,2,5,2,전선,전선,2,2,no,,,,,,,,seed_code_missing
