학년도,학기,이수구분,교과목,교과목명,분반,학점,담당교수,개설학과,등급패스,역량구분,출력,중간문제,기말문제
2023,1,전필,ADA002,면역학,1,3.0,김연정,약학과(3),등급,전공능력,,,
2023,1,전필,ADA030,약물학 1,1,4.0,김만수,약학과(4),등급,전공능력,,,
2023,1,전필,ADA031,약품분석화학 1,1,2.0,박유미,약학과(3),등급,전공능력,,,
2023,1,전필,ADA065,생약학 1,1,2.0,이승락,약학과(4),등급,전공능력,,,
2023,1,전필,ADA076,물리약학 1,1,3.0,민경아,약학과(3),등급,전공능력,,,
2023,1,전필,ADA102,의약화학 1,1,2.0,박요한,약학과(4),등급,전공능력,,,
2023,1,전필,ADA104,약품 미생물학,1,3.0,김연정,약학과(4),등급,전공능력,,,
2023,1,전필,ADA115,지역약국 예비실무실습,1,2.0,천부순,약학과(5),등급,전공능력,,,
2023,1,전필,ADA184,약학실험 3,1,2.0,"김만수,김연정",약학과(4),등급,전공능력,,,
2023,1,전필,ADA186,제제과학 1,1,3.0,조관형,약학과(4),등급,전공능력,,,
2023,1,전필,ADA193,보건사회약학,1,3.0,김성옥,약학과(4),등급,전공능력,,,
2023,1,전필,ADA200,제제과학실습,1,2.0,조관형,약학과(5),등급,전공능력,,,
2023,1,전필,ADA201,약학실험 1,1,2.0,"박요한,박유미",약학과(3),등급,전공능력,,,
2023,1,전필,ADA202,항암약물요법 및 일반의약품약물요법,1,2.0,천부순,약학과(5),등급,전공능력,,,
2023,1,전필,ADA206,의약품 경제성평가,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2023,1,전필,ADA209,감염질환을 위한 항생물질학,1,2.0,김연정,약학과(5),등급,전공능력,,,
2023,1,전필,ADA213,의료기관약국 필수실무실습 1,1,3.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2023,1,전필,ADA214,의료기관약국 필수실무실습 2,1,2.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2023,1,전필,ADA215,의료기관약국 필수실무실습 3,1,3.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2023,1,전필,ADA216,의료기관약국 필수실무실습 4,1,2.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2023,1,전필,ADA217,의료기관약국 예비실무실습,1,2.0,최방선,약학과(5),등급,전공능력,,,
2023,1,전필,ADA218,제약산업 필수실무실습,1,2.0,"민경아,조관형",약학과(6),등급,전공능력,,,
2023,1,전필,ADA219,지역약국 필수실무실습 1,1,2.0,"공경록,김승환,박형덕,정문준,정순옥,천부순,최방선",약학과(6),등급,전공능력,,,
2023,1,전필,ADB008,약품생화학1,1,3.0,박민철,약학과(2),등급,전공능력,,,
2023,1,전필,ADB010,물리약학1,1,3.0,민경아,약학과(2),등급,전공능력,,,
2023,1,전필,ADB011,의약품분석학1,1,2.0,박유미,약학과(2),등급,전공능력,,,
2023,1,전필,ADB012,약학통계,1,2.0,김성옥,약학과(2),등급,전공능력,,,
2023,1,전필,ADB013,약학실험1,1,2.0,"박민철,박유미",약학과(2),등급,전공능력,,,
2023,1,전선,ADA022,해부생리학,1,3.0,김만수,약학과(3),등급,전공능력,,,
2023,1,전선,ADA051,약학통계,1,2.0,김성옥,약학과(3),등급,전공능력,,,
2023,1,전선,ADA063,약물유전체학,1,3.0,이승락,약학과(4),등급,전공능력,,,
2023,1,전선,ADA080,약화학,1,3.0,박요한,약학과(3),등급,전공능력,,,
2023,1,전선,ADA120,향장품학,1,2.0,민경아,약학과(4),등급,전공능력,,,
2023,1,전선,ADA122,천연물의약품학,1,2.0,박유미,약학과(4),등급,전공능력,,,
2023,1,전선,ADA132,예방약학 1,1,2.0,박민철,약학과(5),등급,전공능력,,,
2023,1,전선,ADA144,신경정신계질환 및 신장질환 약물치료학,1,3.0,천부순,약학과(5),등급,전공능력,,,
2023,1,전선,ADA145,호흡기계 및 소화기계 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2023,1,전선,ADA150,임상약물동태학,1,2.0,민경아,약학과(5),등급,전공능력,,,
2023,1,전선,ADA171,의약품제조관리학,1,3.0,조관형,약학과(5),등급,전공능력,,,
2023,1,전선,ADA182,건강기능식품학,1,2.0,박민철,약학과(4),등급,전공능력,,,
2023,1,전선,ADA203,약용식물학,1,2.0,이승락,약학과(3),등급,전공능력,,,
2023,1,전선,ADA212,약사윤리와 진로 적응,1,1.0,김성옥,약학과(3),PASS/FAIL,전공능력,,,
2023,1,전선,ADB002,약학기초생물학1,1,3.0,박민철,약학과(1),등급,전공능력,,,
2023,1,전선,ADB003,약학기초화학1,1,3.0,이승락,약학과(1),등급,전공능력,,,
2023,1,전선,ADB007,병태생리학1,1,2.0,김만수,약학과(2),등급,전공능력,,,
2023,1,전선,ADB009,약화학 1,1,3.0,박요한,약학과(2),등급,전공능력,,,
2023,1,전선,ADB101,해부생리학1,1,2.0,김만수,약학과(1),등급,전공능력,,,
